Y,X1,X2,X3
16623480,20,951,874
688105890,954,797,905
223417896,472,689,687
192220530,478,969,415
4289250,190,43,525
5401410,267,238,85
9510588,823,321,36
311778144,753,456,908
134523480,485,546,508
73162128,377,311,624
219428352,592,858,432
160447989,611,271,969
8853600,600,217,68
7252224,456,112,142
45896928,887,392,132
38628096,318,832,146
293121585,631,555,837
176489852,911,629,308
11256960,624,902,20
238311216,978,572,426
310609887,809,987,389
18643788,228,281,291
99739470,246,619,655
110956560,305,848,429
25608798,711,621,58
151146702,642,259,909
22892800,584,80,490
181792688,451,976,413
43905960,168,399,655
348825659,667,637,821
109247125,851,395,325
124717168,986,163,776
24801840,441,80,703
61593840,726,707,120
58692320,410,184,778
40624848,792,249,206
44182320,392,867,130
13538187,461,117,251
249281406,946,437,603
16999175,305,71,785
54268305,195,581,479
5527620,107,180,287
20313810,255,213,374
184764,267,1,692
58882824,154,516,741
56118396,201,313,892
17740800,84,704,300
189833490,805,594,397
58323750,250,515,453
401976920,599,883,760
73080384,741,536,184
20096650,857,670,35
73683900,620,139,855
31280445,135,553,419
239940,774,155,2
230864165,595,661,587
34901790,521,609,110
165678464,292,952,596
157113660,804,209,935
155178380,577,340,791
649281360,806,840,959
273918672,877,648,482
3014568,281,596,18
71055160,967,835,88
75716368,637,368,323
99079400,362,575,476
237504960,765,504,616
105266304,208,639,792
200605440,544,878,420
276128160,744,964,385
11073820,530,62,337
20193705,119,405,419
231696132,699,958,346
22943700,795,444,65
39944310,937,203,210
11120384,176,359,176
49794870,599,102,815
222451800,678,850,386
9021760,704,233,55
66763020,479,230,606
450227320,986,578,790
125546568,353,812,438
321109740,980,743,441
180087250,427,482,875
47199648,904,916,57
18204480,80,602,378
78140160,912,560,153
7076875,335,325,65
33877200,327,259,400
338741784,732,547,846
233908164,931,252,997
85841184,507,286,592
3641040,778,936,5
5022990,67,441,170
99001600,124,998,800
361348416,642,858,656
25874640,660,484,81
18757560,120,361,433
27418950,981,65,430
86153340,509,780,217
26453394,187,813,174
501875,25,803,25
260668296,798,978,334
73021224,344,409,519
34975548,414,797,106
491728965,735,971,689
65878272,243,768,353
9127536,528,293,59
19323360,630,142,216
50936040,796,790,81
93167580,313,410,726
39948300,746,510,105
61542900,244,531,475
19071000,260,489,150
39829680,963,517,80
159985034,919,902,193
122776656,876,148,947
156926640,949,390,424
32347770,510,697,91
14469100,257,563,100
24058,2,23,523
709824204,852,993,839
483610437,823,981,599
37274896,446,337,248
25494480,116,297,740
415621332,679,882,694
4248189,33,913,141
361312770,962,735,511
73964340,108,855,801
85141350,453,350,537
94152960,576,220,743
4905390,105,94,497
23353584,883,456,58
32436408,321,743,136
374029175,871,445,965
30336312,114,937,284
56032368,798,131,536
4448202,363,557,22
456342816,713,708,904
39918792,516,94,823
21374354,127,206,817
97367184,648,951,158
154139865,737,365,573
341545,415,823,1
57573635,287,265,757
68987100,285,380,637
120106796,569,934,226
16002008,484,122,271
221407248,438,706,716
225815730,658,501,685
2908836,238,42,291
330691160,566,892,655
32367720,372,565,154
12326400,600,96,214
43037280,286,360,418
56014200,943,270,220
12901500,300,305,141
386255232,408,978,968
81124404,943,402,214
52169630,703,410,181
1468656,141,42,248
153116172,398,402,957
248361575,847,317,925
301000860,783,860,447
377900633,527,803,893
1589184,534,496,6
227660940,442,590,873
6868084,604,137,83
35372847,193,597,307
203646674,869,881,266
96538960,670,664,217
6861603,593,203,57
9142861,91,217,463
106743000,408,805,325
7669050,246,145,215
195759900,441,772,575
48785520,818,213,280
164500910,394,755,553
12976755,295,473,93
57385600,908,632,100
337292304,921,752,487
112685248,496,514,442
74460540,227,497,660
691955886,883,786,997
56799736,347,518,316
45872736,472,623,156
146048250,375,554,703
95752800,260,440,837
673374730,895,854,881
39820624,292,412,331
96548112,738,237,552
488012,601,2,406
121970800,254,700,686
440266860,830,627,846
101212272,651,316,492
117858039,321,793,463
3024980,41,170,434
432227040,833,690,752
60487596,842,234,307
212264130,905,403,582
18049680,860,583,36
216253752,814,786,338
14219618,194,259,283
286008160,940,584,521
15529864,196,173,458
67600,20,5,676
87911200,214,520,790
83184570,153,863,630
14844765,283,807,65
285030252,618,702,657
23605698,321,443,166
20443920,120,602,283
249797664,414,877,688
344474910,598,765,753
31077760,49,991,640
358266755,665,737,731
391226355,705,663,837
4963490,10,731,679
188873230,421,986,455
1745220,493,59,60
4438080,268,345,48
1618400,400,14,289
4349485,41,245,433
58747920,210,484,578
370920924,411,946,954
22499568,404,663,84
200544750,425,882,535
633055908,843,964,779
127430220,244,941,555
311718400,448,710,980
7441200,117,424,150
23078160,171,560,241
61881120,877,882,80
268123698,591,498,911
24364952,268,131,694
25313400,245,315,328
9251739,567,333,49
36166749,307,321,367
106225925,709,461,325
228227175,275,913,909
91746108,243,431,876
31329963,833,189,199
261143883,637,451,909
144796920,732,655,302
105932480,148,920,778
60594622,121,743,674
75988744,502,923,164
194172040,716,470,577
2278944,772,164,18
238695600,715,535,624
36725460,699,71,740
16981800,275,83,744
27486030,745,143,258
20566728,468,301,146
96633504,752,726,177
1527888,8,458,417
2516592,52,109,444
335783565,659,603,845
6664960,127,64,820
16708752,197,589,144
67953984,233,992,294
4138500,534,310,25
63804100,214,890,335
46185672,708,193,338
72267646,398,187,971
315318393,929,351,967
43247925,339,729,175
446770210,890,827,607
131409314,971,862,157
14607832,716,202,101
19659500,287,548,125
27891045,585,343,139
20464752,678,77,392
2752266,187,223,66
14767800,163,100,906
285315165,681,465,901
38318048,263,314,464
112452720,290,453,856
15149365,361,545,77
207366040,964,490,439
379484952,876,679,638
17217648,228,87,868
33808320,312,344,315
415653900,705,719,820
80942202,561,519,278
157540452,501,619,508
41369712,796,142,366
20763600,312,550,121
507938400,705,760,948
59442904,284,457,458
15296340,745,87,236
337846344,582,869,668
190053675,435,657,665
217558040,707,785,392
96444000,423,500,456
27201216,336,148,547
24419978,226,121,893
116128644,933,841,148
3969780,12,607,545
1327170,123,83,130
19258590,113,345,494
65921580,645,306,334
16791808,176,712,134
100892610,635,194,819
8029992,248,43,753
24770928,91,424,642
68423940,702,361,270
15370080,220,492,142
82654,17,143,34
56595189,267,749,283
10548516,628,509,33
7485920,104,590,122
127980000,400,675,474
143265792,786,712,256
51685422,849,998,61
1946200,185,263,40
8030880,33,468,520
284112420,870,607,538
57000996,169,972,347
14590128,753,56,346
66834560,928,130,554
22592000,320,353,200
259082080,824,395,796
42998752,932,584,79
93587988,377,906,274
71955660,95,762,994
8542962,563,18,843
446160,676,12,55
34217436,134,803,318
98155008,288,716,476
20963904,227,888,104
321789152,934,488,706
428994192,649,752,879
136664758,577,437,542
7738848,507,18,848
38231325,271,297,475
46153017,201,279,823
9894755,955,797,13
129858920,437,340,874
17324424,249,78,892
70282080,216,660,493
82604832,677,984,124
30387500,68,625,715
18452900,226,355,230
88615296,616,972,148
294536524,718,926,443
135575400,394,740,465
59633280,168,580,612
346472514,673,773,666
46728528,517,807,112
14639130,318,341,135
51091950,455,394,285
115153920,480,544,441
7405230,895,591,14
57745920,730,192,412
210459200,608,350,989
29082240,486,88,680
4520253,37,633,193
488786760,916,726,735
234343200,444,580,910
107797760,848,280,454
450988560,666,990,684
453660922,946,481,997
1043700,25,49,852
160436160,599,480,558
404268432,996,508,799
496043924,967,514,998
19257600,40,816,590
87033352,382,316,721
103395768,238,492,883
1825200,5,624,585
64790418,209,427,726
118102768,274,602,716
42316230,330,323,397
80691584,388,268,776
51731946,189,399,686
7439504,283,248,106
12731784,86,338,438
245834688,668,984,374
212167410,434,545,897
37033984,104,832,428
32297094,818,41,963
671168160,888,765,988
8251320,440,57,329
1191960,792,43,35
27962796,137,876,233
231090860,572,485,833
67073160,330,854,238
44175180,70,807,782
16157754,807,141,142
4975815,221,237,95
2522880,730,9,384
23519760,302,264,295
52351992,308,342,497
37242904,571,263,248
54156102,127,546,781
302714532,699,717,604
46306566,631,151,486
265275136,827,358,896
136592596,172,931,853
274094100,525,556,939
47645216,316,802,188
89167980,220,501,809
74226240,864,605,142
14053636,353,148,269
9567676,571,236,71
110706068,563,451,436
10240290,15,873,782
311117800,725,679,632
156742248,411,772,494
54265050,966,105,535
35043282,477,109,674
337330144,677,677,736
29416860,415,358,198
197471424,584,584,579
5204896,523,622,16
27886704,129,944,229
62582800,175,496,721
9134346,26,647,543
54341216,643,304,278
63224577,767,387,213
368320155,645,841,679
267299670,795,682,493
255037874,494,917,563
23431275,525,783,57
131102400,286,573,800
18833550,530,515,69
95722655,581,415,397
325040,17,478,40
206808756,371,902,618
47423720,436,146,745
3574352,289,773,16
132025520,920,242,593
7905408,544,21,692
551034000,605,920,990
204939522,414,629,787
10418016,24,838,518
26375328,49,864,623
184845192,518,524,681
38792160,352,395,279
41555066,713,181,322
91844740,937,845,116
321420000,974,330,1000
9753920,272,55,652
174462636,323,874,618
271575720,667,936,435
67244242,146,923,499
5576340,497,170,66
3095172,466,18,369
1331280,10,774,172
36087364,607,178,334
21574476,724,129,231
220466880,306,912,790
191158240,728,380,691
118415360,160,944,784
70611692,916,157,491
159074916,714,247,902
1443456,336,716,6
126299648,148,944,904
110925,255,29,15
276381728,427,904,716
1497680,2,772,970
3361230,59,633,90
66831600,664,610,165
25889895,389,85,783
212025000,275,771,1000
26785647,81,543,609
144245190,599,698,345
22668413,149,911,167
174365762,257,706,961
56209650,329,402,425
318556880,656,493,985
598703,1,961,623
28544000,500,223,256
24830416,38,793,824
96998986,758,707,181
190147650,815,303,770
15149700,300,543,93
142316720,173,910,904
979776,8,756,162
75504,2,156,242
3274290,54,335,181
7660620,990,53,146
13046616,76,594,289
12435696,21,676,876
7524024,229,111,296
92512700,934,175,566
3545926,521,166,41
1714466,122,611,23
136093056,404,484,696
168653664,943,243,736
340585518,481,966,733
207618756,786,289,914
54831294,581,107,882
523944,228,6,383
264160610,817,434,745
100577356,724,173,803
365324526,459,818,973
2046590,845,14,173
271892700,670,835,486
10720024,943,56,203
38511936,306,828,152
237398015,709,835,401
16062720,188,890,96
405703200,775,608,861
10209276,381,924,29
7047936,24,304,966
15389760,170,184,492
30735720,894,60,573
141494808,481,412,714
140302976,502,704,397
524244204,846,687,902
15020760,355,164,258
354626712,402,978,902
338118000,872,750,517
116123436,219,572,927
86114688,296,912,319
69456400,988,95,740
18236907,117,753,207
63115254,591,698,153
8769222,333,114,231
155379796,748,247,841
93911124,159,596,991
203396622,559,447,814
19641336,104,649,291
405683642,887,718,637
24808320,720,236,146
13685136,62,541,408
76874,289,133,2
102446543,641,883,181
316150802,991,853,374
203213010,505,737,546
55568205,539,261,395
142205550,230,705,877
454658400,930,840,582
41639200,620,230,292
90064548,567,244,651
53848360,610,116,761
289015300,476,745,815
433682248,904,593,809
314013756,749,713,588
5443200,405,384,35
7014420,30,798,293
105282072,537,778,252
491336076,636,869,889
84429312,526,836,192
375717760,704,643,830
192796344,888,293,741
443340081,829,683,783
22579560,810,46,606
89756667,351,287,891
56928053,751,343,221
58551552,387,192,788
150915072,384,847,464
129279078,866,513,291
537629760,680,948,834
306624736,836,722,508
78766784,899,148,592
2130978,37,993,58
73002636,399,579,316
12572376,474,38,698
111256332,869,681,188
11706600,654,20,895
167801832,927,748,242
67232880,653,198,520
3786720,184,210,98
32292688,452,212,337
36585264,788,438,106
94125083,751,403,311
443025000,990,716,625
31562298,909,54,643
17758224,264,101,666
59187000,545,362,300
33463773,103,567,573
45560298,439,147,706
219387690,659,405,822
39158900,970,734,55
77664960,101,864,890
35452480,595,76,784
1167276,478,74,33
194439378,906,989,217
3104970,485,291,22
71320608,873,368,222
130025208,626,228,911
365283930,437,935,894
27222750,54,545,925
27231470,415,218,301
4427136,366,672,18
219323808,982,528,423
39518304,434,112,813
253579544,463,892,614
2338051,379,199,31
449897064,872,751,687
43491000,218,285,700
658308,357,922,2
567676010,970,913,641
8684676,723,52,231
176821908,474,487,766
21708918,231,681,138
285631875,765,725,515
13895680,920,128,118
361361058,894,653,619
900099,37,901,27
444786890,995,563,794
10579230,141,122,615
66069156,586,258,437
73163376,209,816,429
86579220,471,455,404
2181816,91,444,54
39962016,981,536,76
8193588,991,212,39
21710547,51,491,867
65913400,445,322,460
110622402,213,671,774
3748272,176,93,229
94629276,714,222,597
142857000,195,900,814
456439100,958,650,733
113604850,734,755,205
20159080,370,212,257
34937344,208,928,181
126946944,526,576,419
789323200,964,920,890
70104736,431,221,736
342216,882,2,194
74156940,473,195,804
488444400,900,772,703
185577510,278,955,699
17366650,50,413,841
37478100,820,55,831
23535225,105,879,255
39268866,767,322,159
48951994,554,91,971
85491560,440,677,287
21629790,65,973,342
87148656,294,358,828
351785536,976,718,502
354558708,441,828,971
186001200,305,968,630
1716960,147,20,584
87037236,396,319,689
65251242,501,886,147
35483184,198,228,786
62825840,376,310,539
36248352,501,266,272
42356964,327,689,188
93280860,458,219,930
969150,923,10,105
22739640,107,552,385
175680456,586,516,581
95907896,158,931,652
81087630,706,247,465
42597196,92,491,943
23319324,111,854,246
10921092,548,21,949
150925320,420,813,442
2677176,19,152,927
80251416,161,774,644
61138416,276,701,316
165632775,275,989,609
16073640,492,45,726
290732640,492,935,632
12392028,171,549,132
21169200,118,260,690
261250640,745,808,434
1648863,353,173,27
514505640,818,953,660
10667365,127,535,157
10321686,178,379,153
41137632,144,538,531
24645922,686,37,971
152010432,252,639,944
314066982,821,618,619
21386144,509,416,101
68654880,973,720,98
387876181,959,913,443
18662430,782,43,555
734938967,889,841,983
26442548,667,374,106
349250125,443,901,875
5276100,20,409,645
620375340,951,772,845
38494467,333,341,339
6110349,197,211,147
321046704,482,696,957
121313632,748,418,388
470448,891,48,11
2842476,137,26,798
30419550,203,370,405
55280815,461,827,145
14719632,92,398,402
33481296,816,97,423
50751972,562,173,522
239187816,651,486,756
28260600,201,152,925
1297440,306,424,10
2646,54,49,1
10778040,987,910,12
678210,481,3,470
609711648,983,923,672
137255355,645,797,267
7984980,954,465,18
8047608,956,61,138
560568236,943,842,706
316920000,417,950,800
150912570,499,510,593
7308056,181,721,56
309462120,855,457,792
15827400,324,50,977
29900480,410,172,424
135032352,406,492,676
446336202,591,806,937
342760,20,82,209
2310147,119,27,719
18800100,633,225,132
1683920,388,124,35
4460800,820,20,272
106910858,901,751,158
25716024,586,212,207
19038760,235,104,779
14629758,118,289,429
3877770,61,815,78
203054350,634,557,575
101740150,599,215,790
22529596,148,191,797
46369260,945,348,141
15461250,475,930,35
62752,32,53,37
81607246,686,337,353
155731224,407,856,447
15873858,881,546,33
19610160,809,505,48
20224512,342,336,176
3651480,483,8,945
37668900,818,307,150
95077710,470,273,741
16528050,265,126,495
217676160,680,936,342
89548740,331,810,334
94676427,591,201,797
23000320,476,302,160
38113532,181,863,244
18299424,43,572,744
21004980,930,982,23
109305504,636,504,341
236155010,910,917,283
51408864,199,414,624
22827420,315,549,132
25499664,72,402,881
64584368,787,446,184
219825210,887,751,330
18173496,759,146,164
3217500,495,50,130
6862944,176,67,582
92270112,368,638,393
14753250,415,790,45
37275147,507,189,389
178538250,670,475,561
420029136,622,678,996
45724824,129,648,547
246595080,878,755,372
32878512,549,788,76
7741404,99,113,692
234432468,978,414,579
9346136,269,101,344
302578848,351,992,869
413834890,919,490,919
209266740,926,243,930
64876544,752,674,128
2384226,138,443,39
239054544,757,459,688
3908520,77,94,540
90270765,313,663,435
14217780,901,789,20
162834380,421,466,830
37974528,402,768,123
157717692,894,243,726
161890798,661,881,278
40238040,239,460,366
12559404,156,143,563
292654630,958,535,571
129432432,233,652,852
78275808,648,202,598
57472896,754,192,397
21749406,393,469,118
30667500,94,450,725
35298284,929,92,413
157024440,694,419,540
258678332,886,506,577
17290000,325,95,560
75933000,150,590,858
10677120,415,192,134
71702030,895,977,82
68587500,250,590,465
363513040,799,752,605
327235628,641,713,716
47225088,72,796,824
72795690,253,417,690
20458912,376,244,223
10225600,581,550,32
233551416,574,827,492
17332428,412,111,379
27086664,74,517,708
38741490,135,642,447
246512238,997,406,609
225514080,759,619,480
40874346,83,753,654
142094007,649,477,459
360829727,397,989,919
262186800,492,730,730
5255418,157,42,797
4487910,497,258,35
25905984,39,776,856
98487950,730,223,605
42105732,373,818,138
44684844,179,293,852
66702286,137,838,581
9212720,380,29,836
97524000,250,903,432
228495141,651,661,531
289652220,858,990,341
368998146,837,691,638
352662450,575,859,714
32642988,362,678,133
102465324,486,221,954
235113672,641,696,527
357059745,645,909,609
640896030,922,855,813
21612897,447,213,227
98516088,561,813,216
137976960,517,834,320
69390464,446,704,221
18597600,246,189,400
148212540,453,570,574
15624,1,248,63
230247756,414,571,974
90104630,229,539,730
36408000,185,300,656
31494536,796,271,146
446849415,873,835,613
66778278,714,217,431
10062652,446,29,778
72291008,248,439,664
236829026,434,911,599
21715000,808,215,125
34236435,123,311,895
115905152,526,704,313
417339120,547,816,935
141537165,737,465,413
85426887,221,699,553
623240640,880,764,927
6580080,342,740,26
102339328,191,736,728
132372240,570,638,364
84564891,873,423,229
271196640,660,936,439
5955500,277,86,250
310476540,724,565,759
798078414,889,953,942
150364214,494,413,737
172636824,438,934,422
118957080,794,681,220
280780368,473,664,894
179981376,958,912,206
48604586,991,137,358
84322704,601,592,237
11596968,894,276,47
306482505,735,839,497
49605270,155,373,858
10767000,148,375,194
318507280,910,653,536
34599990,470,463,159
5928912,456,66,197
19848659,769,487,53
351659970,930,523,723
328260480,904,890,408
184140,20,837,11
24966009,333,373,201
248814990,810,367,837
224813880,606,687,540
28619360,368,505,154
85329200,440,451,430
42147864,891,324,146
19903368,678,164,179
288100800,975,648,456
664702200,873,846,900
161314496,472,359,952
38413330,521,730,101
318168936,839,414,916
29292200,490,196,305
9002450,898,25,401
158030600,910,457,380
9028838,373,49,494
328509753,429,983,779
116419680,691,390,432
312475968,553,864,654
18749368,664,151,187
223503000,435,700,734
25683840,49,936,560
186016740,364,651,785
18653624,337,74,748
141470816,971,628,232
140607544,493,463,616
4623102,33,774,181
47606780,130,838,437
36589140,409,994,90
171294800,989,200,866
499579920,777,684,940
10306755,983,233,45
172508518,469,559,658
18343416,111,454,364
53297244,319,351,476
1514325,993,305,5
53599290,815,113,582
160255842,921,722,241
126723825,241,675,779
222720316,644,481,719
12499812,522,39,614
644553516,919,831,844
8024240,322,40,623
216877500,850,567,450
82422087,961,759,113
3294258,426,209,37
8896603,113,131,601
75229440,137,704,780
357884,277,76,17
245418579,459,861,621
158722200,855,408,455
12114540,107,555,204
251689550,905,685,406
1131520,340,26,128
19830798,169,369,318
129170930,551,394,595
9489920,337,256,110
374311680,856,480,911
1516560,178,710,12
7795440,40,401,486
17113242,807,23,922
166821093,353,761,621
7041600,489,240,60
224848400,400,613,917
14455920,348,310,134
43556760,468,410,227
813780,198,6,685
321644650,778,575,719
63824040,140,817,558
18775944,628,151,198
5569900,100,511,109
100551000,220,825,554
202505490,946,639,335
133498368,174,999,768
58558500,364,825,195
90132000,600,370,406
51231744,459,512,218
13551300,315,60,717
349440,224,24,65
367791496,838,971,452
312317460,420,897,829
58289390,542,685,157
1990800,632,90,35
20749748,47,703,628
275774850,470,765,767
34200062,481,146,487
14621892,172,659,129
165362565,789,251,835
12905973,921,173,81
316354311,819,559,691
42334488,243,366,476
136831910,355,439,878
311568120,904,405,851
92383410,310,483,617
100173920,173,752,770
95135040,390,308,792
33879552,966,256,137
177748830,805,261,846
28561806,282,689,147
264959688,408,821,791
232321050,975,789,302
61619760,92,732,915
88780160,608,596,245
94571960,452,610,343
11609920,140,146,568
17889120,303,120,492
3729957,241,231,67
3235320,95,99,344
8442840,19,966,460
49558100,743,100,667
52470656,448,157,746
147141280,767,352,545
278149872,858,392,827
155193440,467,670,496
244642860,532,929,495
69916808,247,328,863
358507968,852,952,442
108826575,365,695,429
217734600,530,820,501
141936120,692,954,215
410427396,766,867,618
14181804,63,468,481
1823107,121,793,19
101244000,390,295,880
138898674,389,478,747
63184116,334,246,769
367065900,906,925,438
24607840,680,218,166
300413520,914,360,913
206035430,610,551,613
3683392,859,268,16
24288345,115,279,757
81973920,280,787,372
17578000,275,680,94
18854550,715,45,586
261467514,411,714,891
77159511,429,359,501
230345376,464,942,527
10857756,163,427,156
35318892,483,404,181
2993976,167,498,36
204489516,682,413,726
521304000,960,749,725
64007496,378,309,548
61014840,534,197,580
20997978,331,291,218
155054655,405,721,531
118814850,162,825,889
171389920,370,524,884
18298764,219,633,132
1119300,615,2,910
21130956,99,693,308
53480472,536,421,237
259596400,695,812,460
80157714,491,299,546
439366317,617,961,741
189419300,301,700,899
23824752,357,194,344
95113800,997,900,106
43608069,69,719,879
56324160,108,615,848
39744000,375,512,207
116985752,206,871,652
12372108,397,159,196
155622546,757,729,282
29353254,294,839,119
124975500,500,663,377
57075200,910,140,448
7385040,15,526,936
59079755,929,553,115
63608200,475,881,152
2267664,3,794,952
24665130,245,282,357
219240290,995,262,841
110854170,399,294,945
8930250,945,18,525
1883520,327,15,384
25066792,326,409,188
8165028,31,934,282
292054662,969,382,789
220268532,514,453,946
130908960,666,210,936
390096,602,36,18
38487150,255,774,195
175626054,274,687,933
70867266,921,974,79
9993456,701,528,27
347157792,996,824,423
36516480,112,570,572
19188480,526,152,240
6730830,771,15,582
144500,25,85,68
277639782,574,743,651
835484706,927,933,966
109689216,448,438,559
34888350,745,223,210
57160616,236,347,698
246062250,350,919,765
48783982,703,221,314
24675435,243,115,883
80136,252,159,2
130030593,231,701,803
4951940,31,490,326
289997820,749,717,540
23298912,336,381,182
39918340,506,490,161
3307200,318,800,13
3144330,465,7,966
174498016,737,392,604
20031942,89,322,699
126697662,266,531,897
102125828,959,337,316
17673494,74,241,991
578982245,877,841,785
2732532,652,11,381
27014892,521,87,596
3370500,963,700,5
44080988,266,623,266
35536260,60,907,653
4180176,78,616,87
4005448,521,31,248
71579950,130,985,559
138372156,524,549,481
115427394,387,893,334
79975830,257,759,410
3773040,995,316,12
1842048,12,208,738
445848138,558,879,909
53300016,484,207,532
49152012,103,798,598
93696912,216,554,783
186683778,621,513,586
3650346,261,259,54
25748226,263,441,222
630080860,818,985,782
92197728,747,304,406
256836300,471,700,779
118883754,671,193,918
42304860,156,537,505
483556140,690,813,862
130465545,607,483,445
4144770,105,459,86
91262970,255,674,531
30998709,893,57,609
128080648,661,914,212
50086548,138,502,723
195533100,757,287,900
40397952,532,678,112
74587488,706,284,372
13575612,23,606,974
88567248,308,773,372
16425495,291,355,159
317236431,859,771,479
24154200,75,756,426
156469833,477,647,507
117677824,484,464,524
23901966,789,918,33
86471280,735,171,688
44420200,671,662,100
44713242,414,417,259
85844736,636,222,608
3382992,36,382,246
584800320,997,960,611
307087116,991,372,833
136192,76,4,448
33484960,314,620,172
102074805,579,511,345
19622250,450,285,153
186686571,629,381,779
25670896,592,421,103
26033760,179,240,606
5788986,42,337,409
270330336,526,664,774
36499260,301,141,860
